cve_entidad;desc_entidad;cve_municipio;desc_municipio;id_indicador;indicador;año;valor;unidad_medida
21;Puebla;20;Atoyatempan;1005000039;Población de 5 años y más hablante de lengua indígena;2010;663;Personas
21;Puebla;20;Atoyatempan;1005000039;Población de 5 años y más hablante de lengua indígena;2020;550;Personas
21;Puebla;20;Atoyatempan;3104003001;Porcentaje de población inmigrante (migración reciente);2020;0.374855825;Porcentaje
21;Puebla;20;Atoyatempan;3105001001;Densidad de población;2015;261.30886;Habitantes por kilómetro cuadrado
21;Puebla;20;Atoyatempan;3105001001;Densidad de población;2020;285.9956606;Habitantes por kilómetro cuadrado
21;Puebla;20;Atoyatempan;3105004001;Porcentaje de población en localidades de menos de 2 500 habitantes;2020;5.646417445;Porcentaje
21;Puebla;20;Atoyatempan;3114004001;Porcentaje de viviendas con piso de tierra;2015;5.7234727;Porcentaje
21;Puebla;20;Atoyatempan;3114004001;Porcentaje de viviendas con piso de tierra;2020;6.889010388;Porcentaje
21;Puebla;20;Atoyatempan;3114006001;Porcentaje de viviendas con electricidad;2015;99.421222;Porcentaje
21;Puebla;20;Atoyatempan;3114006001;Porcentaje de viviendas con electricidad;2020;99.72662657;Porcentaje
21;Puebla;20;Atoyatempan;6200031290;Porcentaje de viviendas particulares habitadas con disponibilidad de drenaje;2020;97.43028978;Porcentaje
21;Puebla;20;Atoyatempan;6200031291;Porcentaje de viviendas particulares habitadas con disponibilidad de excusado;2020;97.7036632;Porcentaje
21;Puebla;20;Atoyatempan;6200108938;Porcentaje de viviendas con techos de materiales resistentes;2020;82.28279387;Porcentaje de viviendas
21;Puebla;20;Atoyatempan;6200205238;Población de 8 a 14 años que sabe leer y escribir;2020;1111;Personas
21;Puebla;20;Atoyatempan;6200205244;Viviendas que son cuarto de azotea;2020;0;Viviendas
21;Puebla;20;Atoyatempan;6200205245;Viviendas móviles;2020;0;Viviendas
21;Puebla;20;Atoyatempan;6200205246;Viviendas que son departamento en edificio o vivienda en vecindad;2020;0;Viviendas
21;Puebla;20;Atoyatempan;6200205247;Viviendas que son refugio;2020;0;Viviendas
21;Puebla;20;Atoyatempan;6200205248;Viviendas colectivas;2020;1;Viviendas
21;Puebla;20;Atoyatempan;6200205249;Viviendas que son casa independiente o local no construido para habitación;2020;1264;Viviendas
21;Puebla;20;Atoyatempan;6200205252;Población de 5 años y más inmigrante;2020;62;Personas
21;Puebla;20;Atoyatempan;6200205253;Población total sin limitación en la actividad;2020;6517;Personas
21;Puebla;20;Atoyatempan;6200205254;Población total que no especificó limitación en la actividad;2020;0;Personas
21;Puebla;20;Atoyatempan;6200205255;Porcentaje de la población migrante internacional destino otro país;2020;3.703703704;Porcentaje
21;Puebla;20;Atoyatempan;6200205256;Población de 5 años y más con religión no especificada;2020;1;Personas
21;Puebla;20;Atoyatempan;6200205257;Población de 5 años y más católica;2020;6460;Personas
21;Puebla;20;Atoyatempan;6200205259;Población nacida en otro país residente en México;2020;16;Personas
21;Puebla;20;Atoyatempan;6200205260;Población con limitación en la actividad para escuchar;2020;144;Personas
21;Puebla;20;Atoyatempan;6200205261;Población con limitación en la actividad para hablar o comunicarse;2020;47;Personas
21;Puebla;20;Atoyatempan;6200205263;Población con limitación en la actividad para caminar o moverse;2020;187;Personas
21;Puebla;20;Atoyatempan;6200205264;Porcentaje de la población migrante internacional destino no especificado;2020;14.81481481;Porcentaje
21;Puebla;20;Atoyatempan;6200205268;Población nacida en otro país residente en México hombres;2020;6;Personas
21;Puebla;20;Atoyatempan;6200205269;Población con limitación en la actividad para atender el cuidado personal;2020;29;Personas
21;Puebla;20;Atoyatempan;6200205270;Población con limitación en la actividad para poner atención o aprender;2020;103;Personas
21;Puebla;20;Atoyatempan;6200205271;Población con limitación en la actividad;2020;741;Personas
21;Puebla;20;Atoyatempan;6200205272;Porcentaje de población nacida en otro país residente en México;2020;0.20768432;Porcentaje
21;Puebla;20;Atoyatempan;6200205273;Población de 5 años y más con religión distinta de católica;2020;444;Personas
21;Puebla;20;Atoyatempan;6200205274;Porcentaje de población masculina nacida en otro país residente en México;2020;0.159574468;Porcentaje
21;Puebla;20;Atoyatempan;6200205277;Población de 5 años y más emigrante;2020;160;Personas
21;Puebla;20;Atoyatempan;6200205280;Población con limitación en la actividad para ver;2020;521;Personas
21;Puebla;20;Atoyatempan;6200205282;Porcentaje de población femenina nacida en otro país residente en México;2020;0.253549696;Porcentaje
21;Puebla;20;Atoyatempan;6200205284;Población nacida en otro país residente en México mujeres;2020;10;Personas
21;Puebla;20;Atoyatempan;6200205285;Porcentaje de la población migrante internacional destino Estados Unidos de América;2020;81.48148148;Porcentaje
21;Puebla;20;Atoyatempan;6200205286;Población con limitación en la actividad mental;2020;58;Personas
21;Puebla;20;Atoyatempan;6200205288;Índice de masculinidad de la población nacida en otro país residente en México;2020;60;Índice
21;Puebla;20;Atoyatempan;6200205289;Población de 5 años y más sin religión;2020;41;Personas
21;Puebla;20;Atoyatempan;6200240300;Porcentaje de hombres de 0 a 4 años;2015;5.7260585;Porcentaje
21;Puebla;20;Atoyatempan;6200240300;Porcentaje de hombres de 0 a 4 años;2020;5.231048806;Porcentaje
21;Puebla;20;Atoyatempan;6200240301;Población católica;2020;7.166;Miles de personas
21;Puebla;20;Atoyatempan;6200240302;Porcentaje de la población de 60 a 84 años con limitación en la actividad;2020;30.70987654;Porcentaje
21;Puebla;20;Atoyatempan;6200240304;Tasa de monolingüismo de la población de 5 años y más hablante de Tojolabal;2020;0;Porcentaje
21;Puebla;20;Atoyatempan;6200240305;Porcentaje de la población que profesa la religión católica;2020;93.01661475;Porcentaje
21;Puebla;20;Atoyatempan;6200240310;Porcentaje de mujeres de 75 a 79 años;2015;0.610969;Porcentaje
21;Puebla;20;Atoyatempan;6200240310;Porcentaje de mujeres de 75 a 79 años;2020;0.48026999;Porcentaje
21;Puebla;20;Atoyatempan;6200240311;Porcentaje de hombres de 10 a 14 años;2015;6.0670645;Porcentaje
21;Puebla;20;Atoyatempan;6200240311;Porcentaje de hombres de 10 a 14 años;2020;5.568535826;Porcentaje
21;Puebla;20;Atoyatempan;6200240312;Porcentaje de mujeres de 5 a 9 años;2015;5.6692242;Porcentaje
21;Puebla;20;Atoyatempan;6200240312;Porcentaje de mujeres de 5 a 9 años;2020;4.997403946;Porcentaje
21;Puebla;20;Atoyatempan;6200240314;Porcentaje de la población de 15 años y más con instrucción media superior;2015;15.28431;Porcentaje
21;Puebla;20;Atoyatempan;6200240314;Porcentaje de la población de 15 años y más con instrucción media superior;2020;17.81414597;Porcentaje
21;Puebla;20;Atoyatempan;6200240315;Porcentaje de la población con limitación mental;2020;0.799118214;Porcentaje
21;Puebla;20;Atoyatempan;6200240316;Tasa de monolingüismo de la población de 5 años y más hablante de Maya;2020;0;Porcentaje
21;Puebla;20;Atoyatempan;6200240318;Población de 5 años y más hablante de Tzeltal  (Tseltal);2020;1;Personas
21;Puebla;20;Atoyatempan;6200240319;Tasa de monolingüismo de la población de 5 años y más hablante de Mazateco;2020;0;Porcentaje
21;Puebla;20;Atoyatempan;6200240320;Población de 5 años y más hablante de Lenguas chinantecas;2020;0;Personas
21;Puebla;20;Atoyatempan;6200240323;Porcentaje de la población derechohabiente en el Seguro popular;2015;96.876627;Porcentaje
21;Puebla;20;Atoyatempan;6200240323;Porcentaje de la población derechohabiente en el Seguro popular;2020;83.73083475;Porcentaje
21;Puebla;20;Atoyatempan;6200240325;Tasa de monolingüismo de la población de 5 años y más hablante de Náhuatl;2020;0.183486239;Porcentaje
21;Puebla;20;Atoyatempan;6200240326;Población de 5 años y más hablante de Lenguas zapotecas;2020;0;Personas
21;Puebla;20;Atoyatempan;6200240328;Porcentaje de mujeres de 55 a 59 años;2015;1.7618642;Porcentaje
21;Puebla;20;Atoyatempan;6200240328;Porcentaje de mujeres de 55 a 59 años;2020;1.739356179;Porcentaje
21;Puebla;20;Atoyatempan;6200240330;Porcentaje de hombres de 75 a 79 años;2015;0.4830918;Porcentaje
21;Puebla;20;Atoyatempan;6200240330;Porcentaje de hombres de 75 a 79 años;2020;0.42834891;Porcentaje
21;Puebla;20;Atoyatempan;6200240331;Población de 5 años y más hablante de Maya;2020;0;Personas
21;Puebla;20;Atoyatempan;6200240332;Población de 5 años y más hablante de Otomí;2020;0;Personas
21;Puebla;20;Atoyatempan;6200240334;Población de 5 años y más hablante de Tojolabal;2020;0;Personas
21;Puebla;20;Atoyatempan;6200240341;Porcentaje de mujeres de 40 a 44 años;2015;3.0548451;Porcentaje
21;Puebla;20;Atoyatempan;6200240341;Porcentaje de mujeres de 40 a 44 años;2020;3.284008307;Porcentaje
21;Puebla;20;Atoyatempan;6200240342;Porcentaje de mujeres de 70 a 74 años;2015;0.7530548;Porcentaje
21;Puebla;20;Atoyatempan;6200240342;Porcentaje de mujeres de 70 a 74 años;2020;0.882658359;Porcentaje
21;Puebla;20;Atoyatempan;6200240343;Porcentaje de hombres de 15 a 19 años;2015;4.7456664;Porcentaje
21;Puebla;20;Atoyatempan;6200240343;Porcentaje de hombres de 15 a 19 años;2020;5.049325026;Porcentaje
21;Puebla;20;Atoyatempan;6200240344;Porcentaje de mujeres de 85 años y más;2015;0.3836317;Porcentaje
21;Puebla;20;Atoyatempan;6200240344;Porcentaje de mujeres de 85 años y más;2020;0.46728972;Porcentaje
21;Puebla;20;Atoyatempan;6200240345;Población de 5 años y más hablante de Mixe;2020;0;Personas
21;Puebla;20;Atoyatempan;6200240354;Porcentaje de mujeres de 10 a 14 años;2015;5.1861324;Porcentaje
21;Puebla;20;Atoyatempan;6200240354;Porcentaje de mujeres de 10 a 14 años;2020;5.114226376;Porcentaje
21;Puebla;20;Atoyatempan;6200240356;Porcentaje de mujeres de 20 a 24 años;2015;4.7882921;Porcentaje
21;Puebla;20;Atoyatempan;6200240356;Porcentaje de mujeres de 20 a 24 años;2020;4.945482866;Porcentaje
21;Puebla;20;Atoyatempan;6200240357;Porcentaje de hombres de 35 a 39 años;2015;3.3674339;Porcentaje
21;Puebla;20;Atoyatempan;6200240357;Porcentaje de hombres de 35 a 39 años;2020;2.907580478;Porcentaje
21;Puebla;20;Atoyatempan;6200240358;Porcentaje de la población de 0 a 14 años con limitación en la actividad;2020;3.475711893;Porcentaje
21;Puebla;20;Atoyatempan;6200240361;Población de 5 años y más hablante de Mazahua;2020;0;Personas
21;Puebla;20;Atoyatempan;6200240364;Tasa de monolingüismo de la población de 5 años y más hablante de Chatino;2020;0;Porcentaje
21;Puebla;20;Atoyatempan;6200240365;Porcentaje de la población de 15 años y más con instrucción superior;2015;6.7764002;Porcentaje
21;Puebla;20;Atoyatempan;6200240365;Porcentaje de la población de 15 años y más con instrucción superior;2020;8.878856283;Porcentaje
21;Puebla;20;Atoyatempan;6200240366;Tasa de monolingüismo de la población de 5 años y más hablante de Lenguas mixtecas;2020;0;Porcentaje
21;Puebla;20;Atoyatempan;6200240367;Porcentaje de la población con limitación para hablar o comunicarse;2020;5.585831063;Porcentaje
21;Puebla;20;Atoyatempan;6200240368;Porcentaje de la población de 15 años y más con instrucción no especificada;2015;0.2351432;Porcentaje
21;Puebla;20;Atoyatempan;6200240368;Porcentaje de la población de 15 años y más con instrucción no especificada;2020;0.357411588;Porcentaje
21;Puebla;20;Atoyatempan;6200240377;Porcentaje de mujeres de 45 a 49 años;2015;2.6712134;Porcentaje
21;Puebla;20;Atoyatempan;6200240377;Porcentaje de mujeres de 45 a 49 años;2020;2.725856698;Porcentaje
21;Puebla;20;Atoyatempan;6200240378;Porcentaje de mujeres de 0 a 4 años;2015;5.0866724;Porcentaje
21;Puebla;20;Atoyatempan;6200240378;Porcentaje de mujeres de 0 a 4 años;2020;4.607995846;Porcentaje
21;Puebla;20;Atoyatempan;6200240379;Porcentaje de mujeres de 80 a 84 años;2015;0.3694231;Porcentaje
21;Puebla;20;Atoyatempan;6200240379;Porcentaje de mujeres de 80 a 84 años;2020;0.54517134;Porcentaje
21;Puebla;20;Atoyatempan;6200240381;Tasa de monolingüismo de la población de 5 años y más hablante de Tzotzil (Tsotsil);2020;0;Porcentaje
